t_star,experiment_CL_fast_pitch,experiment_CL_slow_pitch,source_figure,data_role
3.58000000,1.811755129,1.885225046,4.13b,digitized_experimental_curve
3.59000000,1.807473922,1.889506253,4.13b,digitized_experimental_curve
3.60000000,1.803192716,1.893787460,4.13b,digitized_experimental_curve
3.61000000,1.798911509,1.898068666,4.13b,digitized_experimental_curve
3.62000000,1.794630302,1.902349873,4.13b,digitized_experimental_curve
3.63000000,1.790349095,1.899270257,4.13b,digitized_experimental_curve
3.64000000,1.784157446,1.900720378,4.13b,digitized_experimental_curve
3.65000000,1.775735506,1.909001844,4.13b,digitized_experimental_curve
3.66000000,1.771454299,1.909001844,4.13b,digitized_experimental_curve
3.67000000,1.764521381,1.914305267,4.13b,digitized_experimental_curve
3.68000000,1.756840710,1.921104195,4.13b,digitized_experimental_curve
3.69000000,1.752559503,1.921104195,4.13b,digitized_experimental_curve
3.70000000,1.741492335,1.921104195,4.13b,digitized_experimental_curve
3.71000000,1.730271727,1.924350219,4.13b,digitized_experimental_curve
3.72000000,1.721709313,1.932912633,4.13b,digitized_experimental_curve
3.73000000,1.717281149,1.933206547,4.13b,digitized_experimental_curve
3.74000000,1.712999942,1.935570828,4.13b,digitized_experimental_curve
3.75000000,1.708718736,1.939257722,4.13b,digitized_experimental_curve
3.76000000,1.704437529,1.939257722,4.13b,digitized_experimental_curve
3.77000000,1.697050772,1.942363272,4.13b,digitized_experimental_curve
3.78000000,1.689823940,1.945308898,4.13b,digitized_experimental_curve
3.79000000,1.685542733,1.945308898,4.13b,digitized_experimental_curve
3.80000000,1.685108345,1.949155717,4.13b,digitized_experimental_curve
3.81000000,1.683031495,1.953436924,4.13b,digitized_experimental_curve
3.82000000,1.678750288,1.957718130,4.13b,digitized_experimental_curve
3.83000000,1.674469081,1.961999337,4.13b,digitized_experimental_curve
3.84000000,1.673005994,1.963462425,4.13b,digitized_experimental_curve
3.85000000,1.671957843,1.964510575,4.13b,digitized_experimental_curve
3.86000000,1.667676637,1.968791782,4.13b,digitized_experimental_curve
3.87000000,1.670514206,1.965954213,4.13b,digitized_experimental_curve
3.88000000,1.673005994,1.965251844,4.13b,digitized_experimental_curve
3.89000000,1.673025444,1.969513601,4.13b,digitized_experimental_curve
3.90000000,1.677306651,1.969513601,4.13b,digitized_experimental_curve
3.91000000,1.679057169,1.974574977,4.13b,digitized_experimental_curve
3.92000000,1.679057169,1.981615952,4.13b,digitized_experimental_curve
3.93000000,1.679057169,1.981615952,4.13b,digitized_experimental_curve
3.94000000,1.679057169,1.981615952,4.13b,digitized_experimental_curve
3.95000000,1.679057169,1.984619929,4.13b,digitized_experimental_curve
3.96000000,1.679057169,1.993182342,4.13b,digitized_experimental_curve
3.97000000,1.679057169,1.985691851,4.13b,digitized_experimental_curve
3.98000000,1.679057169,1.986102467,4.13b,digitized_experimental_curve
3.99000000,1.679057169,1.994191592,4.13b,digitized_experimental_curve
4.00000000,1.679057169,1.998472799,4.13b,digitized_experimental_curve
4.01000000,1.673088117,1.996784953,4.13b,digitized_experimental_curve
4.02000000,1.665740260,1.994932861,4.13b,digitized_experimental_curve
4.03000000,1.661459054,1.999214068,4.13b,digitized_experimental_curve
