case_id,t_star,experiment_CL,data_role
fast_pitch,3.03,1.926197989,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.04,1.921916782,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.05,1.917635575,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.06,1.913354368,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.07,1.909073162,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.08,1.900582065,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.09,1.899339413,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.1,1.900940814,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.11,1.888097193,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.12,1.887978331,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.13,1.889437097,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.14,1.88515589,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.15,1.880874683,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.16,1.878745966,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.17,1.878363445,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.18,1.874082238,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.19,1.875588549,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.2,1.877622176,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.21,1.873340969,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.22,1.87269479,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.23,1.87269479,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.24,1.8725997,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.25,1.868318494,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.26,1.869249942,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.27,1.87269479,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.28,1.87269479,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.29,1.865999597,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.3,1.860592439,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.31,1.860592439,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.32,1.860592439,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.33,1.862911336,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.34,1.866643615,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.35,1.866643615,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.36,1.869703781,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.37,1.871404593,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.38,1.867123386,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.39,1.859040745,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.4,1.850478331,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.41,1.841915917,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.42,1.833353504,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.43,1.82479109,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.44,1.817231443,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.45,1.812950236,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.46,1.812183034,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.47,1.813927069,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.48,1.818208276,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.49,1.813978936,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.5,1.812183034,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.51,1.813613704,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.52,1.822176118,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.53,1.824285385,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.54,1.821372176,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.55,1.812809763,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.56,1.812183034,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.57,1.812183034,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.58,1.811755129,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.59,1.807473922,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.6,1.803192716,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.61,1.798911509,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.62,1.794630302,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.63,1.790349095,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.64,1.784157446,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.65,1.775735506,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.66,1.771454299,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.67,1.764521381,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.68,1.75684071,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.69,1.752559503,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.7,1.741492335,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.71,1.730271727,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.72,1.721709313,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.73,1.717281149,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.74,1.712999942,digitized_experimental_whole_wing_lift_curve
