Time,Z_tip
23.0895,-0.0016108496997801
23.091,-0.00158976265709243
23.0925,-0.00157257926011558
23.094,-0.00156021600377709
23.0955,-0.00155359459300889
23.097,-0.00155348446393746
23.0985,-0.00156038079138448
23.1,-0.00157443809703017
23.1015,-0.0015954675967349
23.103,-0.00162298796979065
23.1045,-0.00165630203360632
23.106,-0.00169457825743487
23.1075,-0.00173693436368369
23.109,-0.00178252443597036
23.1105,-0.00183061875738023
23.112,-0.00188065579263236
23.1135,-0.00193225069240569
23.115,-0.00198516005795647
23.1165,-0.0020392175593239
23.118,-0.0020942622255622
23.1195,-0.00215007914279673
23.121,-0.00220636306807995
23.1225,-0.00226270389765351
23.124,-0.00231858474837011
23.1255,-0.00237338226124116
23.127,-0.00242636416657324
23.1285,-0.00247668722782694
23.13,-0.00252340467064775
23.1315,-0.00256549310824871
23.133,-0.00260190473589495
23.1345,-0.00263164352987557
23.136,-0.00265385749043407
23.1375,-0.0026679349045965
23.139,-0.00267359181808455
23.1405,-0.00267093972111979
23.142,-0.00266052571570331
23.1435,-0.00264334114784525
23.145,-0.00262079798373787
23.1465,-0.00259467426439162
23.148,-0.00256703039602355
23.1495,-0.00254009761125099
23.151,-0.00251614057510461
23.1525,-0.00249729958757186
23.154,-0.00248542401057549
23.1555,-0.00248200592508467
23.157,-0.00248788509882498
23.1585,-0.00250310601160845
23.16,-0.00252712165031104
23.1615,-0.00255885163796992
23.163,-0.00259674548525147
23.1645,-0.0026389000881022
23.166,-0.00268323896807147
23.1675,-0.00272771055596242
23.169,-0.00277045827394673
23.1705,-0.0028099355697362
23.172,-0.00284495735475858
23.1735,-0.00287469056794764
23.175,-0.00289859675626733
23.1765,-0.0029163500802996
23.178,-0.00292775860100609
23.1795,-0.00293270943898159
23.181,-0.00293114356510388
23.1825,-0.00292305312923661
23.184,-0.00290848893372256
23.1855,-0.00288756676270446
23.187,-0.0028604651799917
23.1885,-0.0028274120284018
23.19,-0.00278866178683018
23.1915,-0.00274447078056476
23.193,-0.00269508059778105
23.1945,-0.00264072018846836
23.196,-0.00258163299529045
23.1975,-0.00251812770434988
23.199,-0.00245064203838181
23.2005,-0.00237980171790993
23.202,-0.00230645443260222
23.2035,-0.00223166307544984
23.205,-0.00215665273617028
23.2065,-0.00208271866864556
23.208,-0.00201111304247879
23.2095,-0.00194293301862614
23.211,-0.00187903033098762
23.2125,-0.00181995481618639
23.214,-0.00176593482229271
23.2155,-0.00171688984223204
23.217,-0.00167246720681288
23.2185,-0.00163209515476175
23.22,-0.00159504721833042
23.2215,-0.0015605152298614
23.223,-0.0015277616823864
23.2245,-0.0014960590829613
23.226,-0.001464721799226
23.2275,-0.00143335521897848
23.229,-0.00140189346725945
23.2305,-0.00137056464311722
23.232,-0.00133982736600357
23.2335,-0.00131030225707093
23.235,-0.0012826964854425
23.2365,-0.00125771637792473
23.238,-0.00123597459026663
23.2395,-0.00121790989281797
23.241,-0.00120373761104403
23.2425,-0.00119343786762442
23.244,-0.00118677685545596
23.2455,-0.00118335014155868
23.247,-0.00118263615210312
23.2485,-0.00118404917700941
23.25,-0.00118698288452767
23.2515,-0.00119083761430583
23.253,-0.00119502861613354
23.2545,-0.00119897761819507
23.256,-0.00120209534349559
23.2575,-0.00120376567286659
23.259,-0.00120334179021428
