figure,case_id,quantity,point_index,phase,coefficient,x_pdf,y_pdf,is_plot_boundary_intersection
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,40,0.6597012507927963,0.5735137240461234,220.3252716064453,382.57562255859375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,41,0.6761919918028385,0.5582075255233432,223.03797912597656,384.23388671875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,42,0.6926851445536066,0.5439159563037956,225.75108337402344,385.7822265625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,43,0.7091782973043748,0.53135280613051,228.4641876220703,387.143310546875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,44,0.7256713572958842,0.5210144039408253,231.17727661132812,388.26336669921875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,45,0.742162191065185,0.5131672237272067,233.88999938964844,389.113525390625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,46,0.7586552510566945,0.507849574647133,236.60308837890625,389.68963623046875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,47,0.7751483110482039,0.5048969526714293,239.31617736816406,390.009521484375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,48,0.7916415565582308,0.5039871101813012,242.029296875,390.10809326171875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,49,0.808132297568273,0.5046834354554797,244.74200439453125,390.03265380859375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,50,0.8246254503190411,0.5064884728166998,247.45510864257812,389.83709716796875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,51,0.8411185103105505,0.508899132888067,250.16819763183594,389.575927734375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,52,0.85761157030206,0.511460212739536,252.88128662109375,389.2984619140625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,53,0.8741024040713609,0.5137970713457596,255.59400939941406,389.0452880859375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,54,0.8905956495813877,0.5156477416739769,258.30712890625,388.84478759765625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,55,0.9070886168136384,0.5168725079733816,261.02020263671875,388.71209716796875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,56,0.9235815840458892,0.5174493988154194,263.7332763671875,388.64959716796875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,57,0.9400726960929661,0.5174634830644926,266.446044921875,388.6480712890625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,58,0.9565656633252169,0.5170753211600354,269.15911865234375,388.69012451171875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,59,0.9730586305574676,0.5164978669480347,271.8721923828125,388.752685546875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,60,0.9895519688267531,0.5159418207946251,274.5853271484375,388.81292724609375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,61,1.0,0.5157212614541389,276.32049560546875,388.8368225097656,1
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,0,3.561954686997794e-10,0.051532614905464055,326.55218505859375,359.50140380859375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,1,0.016492595047516698,0.051189297250055985,329.26519775390625,359.7803649902344,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,2,0.032983520072333745,0.05090145275699749,331.9779357910156,360.0142517089844,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,3,0.0494770423561573,0.05070085549219773,334.69110107421875,360.17724609375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,4,0.06597019360297993,0.05059873529691773,337.4042053222656,360.2602233886719,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,5,0.08246315933130209,0.05058517685980994,340.1172790527344,360.271240234375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,6,0.09895408435611913,0.05063325109664642,342.83001708984375,360.232177734375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,7,0.1154470500844413,0.05069717480843995,345.5430908203125,360.18023681640625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,8,0.1319402013312639,0.050718132171060845,348.2561950683594,360.1632080078125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,9,0.14843335257808654,0.05062577705513825,350.96929931640625,360.2382507324219,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,10,0.16492409208440312,0.05034307800774117,353.6820068359375,360.46795654296875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,11,0.18141724333122575,0.04978894731220558,356.3951110839844,360.918212890625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,12,0.19791039457804838,0.04888256015785013,359.10821533203125,361.6546936035156,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,13,0.21440336030637053,0.04754658462776358,361.8212890625,362.740234375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,14,0.23089428533118758,0.04571195156449105,364.5340270996094,364.23095703125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,15,0.2473874365780102,0.04331894375196221,367.24713134765625,366.1753845214844,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,16,0.26388040230633236,0.04032418170303162,369.960205078125,368.6087646484375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,17,0.28037355355315496,0.03669923401357021,372.6733093261719,371.55419921875,0
