case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
W1,fluxv_v4b,0.1484375,1.4862808262013891,-0.1346183045197244,0.7617073810384785,0.17825707816274575,0.14963197387546714,1.0
W1,fluxv_v4b,0.15625,1.7351156499178766,-0.15623902179318466,0.7616503764952227,1.0355399406337733,0.11632626230754367,1.0
W1,fluxv_v4b,0.1640625,1.7936130192963353,-0.17390622146979062,0.7616100398952307,1.095238902304952,0.11880100001740287,1.0
W1,fluxv_v4b,0.171875,1.50818814775978,-0.1723286270650142,0.7615863653751479,-0.28200092724424153,0.21208339489726938,1.0
W1,fluxv_v4b,0.1796875,1.6938950893378086,-0.19956179036431504,0.7615793198749656,0.3274510493532535,0.18377809092093236,1.0
W1,fluxv_v4b,0.1875,1.9346349664290228,-0.23211045466268013,0.7615888428795262,1.179145283183419,0.1317127382859944,1.0
W1,fluxv_v4b,0.1953125,1.8987915276322362,-0.24472498897097877,0.7616148462638236,0.8830296392601856,0.16105687920133466,1.0
W1,fluxv_v4b,0.203125,1.9051699166531235,-0.25975348877086557,0.76165721424266,0.77701563145055,0.17734176325585546,1.0
W1,fluxv_v4b,0.2109375,1.7940196391322414,-0.2642058245866221,0.7617158034246377,0.19142478056542503,0.23435127333942662,1.0
W1,fluxv_v4b,0.21875,1.8988020822277965,-0.2858898880052986,0.7617904429698743,0.5262037455780343,0.21468144998248187,1.0
W1,fluxv_v4b,0.2265625,1.7913827884930211,-0.288437198351555,0.7618809348502577,-0.015267652553400794,0.27030994659644025,1.0
W1,fluxv_v4b,0.234375,1.81868798931698,-0.3017842865964031,0.761987054210482,0.023801346382040806,0.2749181582289203,1.0
W1,fluxv_v4b,0.2421875,2.01820229182961,-0.3297685928132725,0.7621085498275545,0.8019319966734,0.21171928853348268,1.0
W1,fluxv_v4b,0.25,1.8575153209023423,-0.324121742616203,0.7622451446659272,0.08110966227797682,0.28308581279068307,1.0
W1,fluxv_v4b,0.2578125,1.8323311333791001,-0.3295517976246114,0.7623965365249048,-0.05522708927696369,0.30063953294105705,1.0
W1,fluxv_v4b,0.265625,1.81318492722247,-0.33431738842559017,0.7625623987744972,-0.15148360034285213,0.3133449916070315,1.0
W1,fluxv_v4b,0.2734375,2.005874384719976,-0.3565048573701355,0.7627423811754472,0.6594472235017287,0.2446579088436562,1.0
W1,fluxv_v4b,0.28125,2.0612508932852736,-0.36472493006031576,0.7629361107787586,0.9064972712746536,0.2265685268148034,1.0
W1,fluxv_v4b,0.2890625,1.859355784327246,-0.3495745836592291,0.7631431928996864,0.08129740461818592,0.2987631747904193,1.0
W1,fluxv_v4b,0.296875,1.9866034453680017,-0.36057703795364665,0.7633632121608357,0.6583713600668187,0.25216503648587607,1.0
W1,fluxv_v4b,0.3046875,1.9630353034266355,-0.3574556751404962,0.7635957335987404,0.6107747915226754,0.2568472138915481,1.0
W1,fluxv_v4b,0.3125,1.8570782608645593,-0.3468170449850283,0.763840303828072,0.22565859913886332,0.2851111684811063,1.0
W1,fluxv_v4b,0.3203125,1.802712239092416,-0.3389765017524195,0.7640964522574516,0.06909217708400212,0.2935116641537583,1.0
W1,fluxv_v4b,0.328125,1.742082941679007,-0.3296194398271479,0.7643636923507163,-0.1044961586044668,0.3005746283277787,1.0
W1,fluxv_v4b,0.3359375,1.9653593921567045,-0.33568761103027456,0.764641522927407,0.9369360746108976,0.23466146602530377,1.0
W1,fluxv_v4b,0.34375,1.7333343167260915,-0.31625455937307345,0.764929429496223,0.048417978756805424,0.28032742061838195,1.0
W1,fluxv_v4b,0.3515625,1.764982953227515,-0.31442604240003547,0.7652268856152026,0.28095765766261277,0.26343614870085036,1.0
W1,fluxv_v4b,0.359375,1.709403970122696,-0.31076438967225817,0.7655333542724523,0.14296663754795724,0.2633113352597855,1.0
W1,fluxv_v4b,0.3671875,1.6494287643076164,-0.30858397758226486,0.7658482892813514,-0.011889779952729643,0.26120086418842764,1.0
