case_id,model,quantity,phase,experiment,prediction
W1,fluxv_old,CL,0.99,0.5092,0.37307761509380194
W1,fluxv_old,CL,0.9925,0.5319,0.3887020788059677
W1,fluxv_old,CL,0.995,0.5446,0.40461105131419617
W1,fluxv_old,CL,0.9975,0.56095,0.4205200238224254
W1,fluxv_old,CD,0.0,0.167326732673,0.03848638877537684
W1,fluxv_old,CD,0.0025,0.166690594059,0.037332627796854645
W1,fluxv_old,CD,0.005,0.166336633663,0.03617886681833245
W1,fluxv_old,CD,0.0075,0.164643564357,0.03502510583981025
W1,fluxv_old,CD,0.01,0.164356435644,0.033414033226434915
W1,fluxv_old,CD,0.0125,0.163514851486,0.031737630379509135
W1,fluxv_old,CD,0.015,0.162376237624,0.030061227532583352
W1,fluxv_old,CD,0.0175,0.162376237624,0.027978979258400274
W1,fluxv_old,CD,0.02,0.160396039604,0.025761449175131436
W1,fluxv_old,CD,0.0225,0.160396039604,0.0235439190918626
W1,fluxv_old,CD,0.025,0.158712871287,0.020981117065134773
W1,fluxv_old,CD,0.0275,0.158148514851,0.01821115187233156
W1,fluxv_old,CD,0.03,0.156435643564,0.015441186679528346
W1,fluxv_old,CD,0.0325,0.155039603961,0.012390378779366292
W1,fluxv_old,CD,0.035,0.154455445545,0.009058728171845408
W1,fluxv_old,CD,0.0375,0.152475247525,0.00572707756432453
W1,fluxv_old,CD,0.04,0.151366336634,0.0021826336608174843
W1,fluxv_old,CD,0.0425,0.148821782178,-0.0017164657359998283
W1,fluxv_old,CD,0.045,0.148257425742,-0.00561556513281713
W1,fluxv_old,CD,0.0475,0.145712871287,-0.009656955822209032
W1,fluxv_old,CD,0.05,0.143168316832,-0.014125220389324705
W1,fluxv_old,CD,0.0525,0.140623762376,-0.018593484956440365
W1,fluxv_old,CD,0.055,0.138079207921,-0.02313256763500038
W1,fluxv_old,CD,0.0575,0.135534653465,-0.028167377093670763
W1,fluxv_old,CD,0.06,0.13299009901,-0.03320218655234113
W1,fluxv_old,CD,0.0625,0.130445544554,-0.03823699601101151
W1,fluxv_old,CD,0.065,0.127089108911,-0.043830981127185156
