paper,scope,case_id,view,model_id,observable,n,aggregation,mae,rmse,bias,max_abs_error,reference_model,rmse_improvement_pct
izraelevitz2017_fig14,condition,theta_25_psi_75,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.0039801892999533905,0.0039801892999533905,-0.0039801892999533905,0.0039801892999533905,,
izraelevitz2017_fig14,condition,theta_25_psi_90,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.017796471115113566,0.017796471115113566,0.017796471115113566,0.017796471115113566,,
izraelevitz2017_fig14,all_14_markers,all,cycle_mean,fluxv_v4b,CT,14,observation_equal_replicates_retained,0.019783350410798355,0.02594916701432961,-0.0016271387469068035,0.05372213118673688,,
izraelevitz2017_fig14,theta_15_markers,theta_15,cycle_mean,fluxv_v4b,CT,9,observation_equal_replicates_retained,0.017010077307042626,0.0226760241496532,-0.006424800520828384,0.04910488872817678,,
izraelevitz2017_fig14,theta_25_markers,theta_25,cycle_mean,fluxv_v4b,CT,5,observation_equal_replicates_retained,0.024775241997558668,0.030981320569675883,0.007008652446152041,0.05372213118673688,,
izraelevitz2017_fig14,unique_12_conditions,all,cycle_mean,fluxv_v4b,CT,12,unique_condition_equal_replicates_averaged,0.02163596560114026,0.027508176241588446,-0.0014988258455234497,0.05372213118673688,,
izraelevitz2017_fig14,condition,theta_15_psi_105,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.03244390430294372,0.03244390430294372,0.03244390430294372,0.03244390430294372,,
izraelevitz2017_fig14,condition,theta_15_psi_15,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.008338429386460011,0.008338429386460011,-0.008338429386460011,0.008338429386460011,,
izraelevitz2017_fig14,condition,theta_15_psi_30,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.021916544246541964,0.021916544246541964,-0.021916544246541964,0.021916544246541964,,
izraelevitz2017_fig14,condition,theta_15_psi_45,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.04910488872817678,0.04910488872817678,-0.04910488872817678,0.04910488872817678,,
izraelevitz2017_fig14,condition,theta_15_psi_60,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.01503241244028694,0.01503241244028694,-0.01503241244028694,0.01503241244028694,,
izraelevitz2017_fig14,condition,theta_15_psi_75,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.003544397076046174,0.003544397076046174,0.003544397076046174,0.003544397076046174,,
izraelevitz2017_fig14,condition,theta_15_psi_90,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.005374801045434197,0.005374801045434197,0.005374801045434197,0.005374801045434197,,
izraelevitz2017_fig14,condition,theta_25_psi_105,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.05372213118673688,0.05372213118673688,0.05372213118673688,0.05372213118673688,,
izraelevitz2017_fig14,condition,theta_25_psi_45,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.03461204954994761,0.03461204954994761,-0.03461204954994761,0.03461204954994761,,
izraelevitz2017_fig14,condition,theta_25_psi_60,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.003375435730741033,0.003375435730741033,-0.003375435730741033,0.003375435730741033,,
izraelevitz2017_fig14,condition,theta_25_psi_75,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.006428988597827923,0.006428988597827923,-0.006428988597827923,0.006428988597827923,,
izraelevitz2017_fig14,condition,theta_25_psi_90,cycle_mean,fluxv_v4b,CT,1,single_unique_condition,0.02573760492253989,0.02573760492253989,0.02573760492253989,0.02573760492253989,,
izraelevitz2017_fig14,all_14_markers,all,cycle_mean,fluxv_v5a,CT,14,observation_equal_replicates_retained,0.07212197896731516,0.09469550728255667,-0.060746906342075836,0.1785260354963481,,
izraelevitz2017_fig14,theta_15_markers,theta_15,cycle_mean,fluxv_v5a,CT,9,observation_equal_replicates_retained,0.09129358650288356,0.11297498968817539,-0.09127852438540034,0.1785260354963481,,
izraelevitz2017_fig14,theta_25_markers,theta_25,cycle_mean,fluxv_v5a,CT,5,observation_equal_replicates_retained,0.037613085403292015,0.04619786301901945,-0.005789993864091713,0.08112678209948196,,
izraelevitz2017_fig14,unique_12_conditions,all,cycle_mean,fluxv_v5a,CT,12,unique_condition_equal_replicates_averaged,0.06697913160262577,0.08930454168688041,-0.05370821353984656,0.1676467444963481,,
izraelevitz2017_fig14,condition,theta_15_psi_105,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,6.777952867453862e-05,6.777952867453862e-05,6.777952867453862e-05,6.777952867453862e-05,,
izraelevitz2017_fig14,condition,theta_15_psi_15,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.1676467444963481,0.1676467444963481,-0.1676467444963481,0.1676467444963481,,
izraelevitz2017_fig14,condition,theta_15_psi_30,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.14878012857732606,0.14878012857732606,-0.14878012857732606,0.14878012857732606,,
izraelevitz2017_fig14,condition,theta_15_psi_45,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.15034845666196542,0.15034845666196542,-0.15034845666196542,0.15034845666196542,,
izraelevitz2017_fig14,condition,theta_15_psi_60,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.10327845190014459,0.10327845190014459,-0.10327845190014459,0.10327845190014459,,
izraelevitz2017_fig14,condition,theta_15_psi_75,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.03831138181455476,0.03831138181455476,-0.03831138181455476,0.03831138181455476,,
izraelevitz2017_fig14,condition,theta_15_psi_90,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.007251209236035672,0.007251209236035672,-0.007251209236035672,0.007251209236035672,,
izraelevitz2017_fig14,condition,theta_25_psi_105,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.053773277810492,0.053773277810492,0.053773277810492,0.053773277810492,,
izraelevitz2017_fig14,condition,theta_25_psi_45,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.08112678209948196,0.08112678209948196,-0.08112678209948196,0.08112678209948196,,
izraelevitz2017_fig14,condition,theta_25_psi_60,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.02258982204618551,0.02258982204618551,-0.02258982204618551,0.02258982204618551,,
izraelevitz2017_fig14,condition,theta_25_psi_75,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.0047910940227918475,0.0047910940227918475,-0.0047910940227918475,0.0047910940227918475,,
izraelevitz2017_fig14,condition,theta_25_psi_90,cycle_mean,fluxv_v5a,CT,1,single_unique_condition,0.025784451037508746,0.025784451037508746,0.025784451037508746,0.025784451037508746,,
izraelevitz2017_fig14,all_14_markers,all,cycle_mean,one_state_ullt_local,CT,14,observation_equal_replicates_retained,0.033879199452801156,0.04636083952617762,0.015025232861737884,0.11572348627510921,,
izraelevitz2017_fig14,theta_15_markers,theta_15,cycle_mean,one_state_ullt_local,CT,9,observation_equal_replicates_retained,0.042223465266398495,0.05525857291916686,0.015117972640626868,0.11572348627510921,,
izraelevitz2017_fig14,theta_25_markers,theta_25,cycle_mean,one_state_ullt_local,CT,5,observation_equal_replicates_retained,0.018859520988325957,0.022842921233686284,0.014858301259737711,0.03572199697481443,,
izraelevitz2017_fig14,unique_12_conditions,all,cycle_mean,one_state_ullt_local,CT,12,unique_condition_equal_replicates_averaged,0.028767250067622388,0.03899284917110425,0.01081388842015496,0.10484419527510921,,
izraelevitz2017_fig14,condition,theta_15_psi_105,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.0022012829043210613,0.0022012829043210613,0.0022012829043210613,0.0022012829043210613,,
izraelevitz2017_fig14,condition,theta_15_psi_15,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.10484419527510921,0.10484419527510921,0.10484419527510921,0.10484419527510921,,
izraelevitz2017_fig14,condition,theta_15_psi_30,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.046146797127074646,0.046146797127074646,0.046146797127074646,0.046146797127074646,,
izraelevitz2017_fig14,condition,theta_15_psi_45,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.02268634945357806,0.02268634945357806,-0.02268634945357806,0.02268634945357806,,
izraelevitz2017_fig14,condition,theta_15_psi_60,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.03305389793827396,0.03305389793827396,-0.03305389793827396,0.03305389793827396,,
izraelevitz2017_fig14,condition,theta_15_psi_75,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.024257596252638375,0.024257596252638375,-0.024257596252638375,0.024257596252638375,,
