paper,case_id,view,x_name,x_value,replicate,observable,units,model_id,model_label,data_role,value,uncertainty_minus,uncertainty_plus,uncertainty_kind,canonical_eligible,source_path
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,fluxv_v4b,FluxV v4b,local_model,10.79369702230711,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,fluxv_v4b,FluxV v4b,local_model,-1.79633615865189,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,fluxv_old,FluxV old,local_model,27.11047494943118,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,fluxv_old,FluxV old,local_model,-4.386244413185951,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,fluxv_v1_v2,FluxV v1/v2,local_model,24.157076150797486,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,fluxv_v1_v2,FluxV v1/v2,local_model,3.237259804827586,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,fluxv_v4b,FluxV v4b,local_model,23.13163859790785,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,fluxv_v4b,FluxV v4b,local_model,2.2238218579137845,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,lift,gf,fluxv_old,FluxV old,local_model,40.21620749422078,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,drag,gf,fluxv_old,FluxV old,local_model,-1.6934870575438747,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
