case,phase_t_over_T,variable,value
W3,0.866927592955,cl,-0.0945273631841
W3,0.868884540117,cl,-0.0845771144279
W3,0.87084148728,cl,-0.0746268656716
W3,0.872798434442,cl,-0.0646766169154
W3,0.874755381605,cl,-0.0547263681592
W3,0.876712328767,cl,-0.044776119403
W3,0.87866927593,cl,-0.0348258706468
W3,0.880626223092,cl,-0.0248756218905
W3,0.882583170254,cl,-0.0149253731343
W3,0.884540117417,cl,-0.00497512437811
W3,0.886497064579,cl,0.0149253731343
W3,0.888454011742,cl,0.0248756218905
W3,0.890410958904,cl,0.0348258706468
W3,0.892367906067,cl,0.044776119403
W3,0.894324853229,cl,0.0547263681592
W3,0.896281800391,cl,0.0646766169154
W3,0.898238747554,cl,0.0746268656716
W3,0.900195694716,cl,0.0945273631841
W3,0.902152641879,cl,0.10447761194
W3,0.904109589041,cl,0.114427860697
W3,0.906066536204,cl,0.124378109453
W3,0.908023483366,cl,0.134328358209
W3,0.909980430528,cl,0.154228855721
W3,0.911937377691,cl,0.164179104478
W3,0.913894324853,cl,0.174129353234
W3,0.915851272016,cl,0.18407960199
W3,0.917808219178,cl,0.194029850746
W3,0.919765166341,cl,0.213930348259
W3,0.921722113503,cl,0.223880597015
W3,0.923679060665,cl,0.233830845771
W3,0.925636007828,cl,0.243781094527
W3,0.92759295499,cl,0.26368159204
W3,0.929549902153,cl,0.273631840796
W3,0.931506849315,cl,0.293532338308
W3,0.933463796477,cl,0.293532338308
W3,0.93542074364,cl,0.313432835821
W3,0.937377690802,cl,0.323383084577
W3,0.939334637965,cl,0.34328358209
W3,0.941291585127,cl,0.353233830846
W3,0.94324853229,cl,0.363184079602
W3,0.945205479452,cl,0.373134328358
W3,0.947162426614,cl,0.393034825871
W3,0.949119373777,cl,0.402985074627
W3,0.951076320939,cl,0.412935323383
W3,0.953033268102,cl,0.432835820896
W3,0.954990215264,cl,0.442786069652
W3,0.956947162427,cl,0.452736318408
W3,0.958904109589,cl,0.462686567164
W3,0.960861056751,cl,0.482587064677
W3,0.962818003914,cl,0.492537313433
W3,0.964774951076,cl,0.512437810945
W3,0.966731898239,cl,0.522388059701
W3,0.968688845401,cl,0.542288557214
W3,0.970645792564,cl,0.55223880597
W3,0.972602739726,cl,0.562189054726
W3,0.974559686888,cl,0.582089552239
W3,0.976516634051,cl,0.592039800995
W3,0.978473581213,cl,0.601990049751
W3,0.980430528376,cl,0.611940298507
W3,0.982387475538,cl,0.63184079602
W3,0.984344422701,cl,0.651741293532
W3,0.986301369863,cl,0.661691542289
W3,0.988258317025,cl,0.681592039801
W3,0.990215264188,cl,0.691542288557
W3,0.99217221135,cl,0.701492537313
W3,0.994129158513,cl,0.721393034826
W3,0.996086105675,cl,0.731343283582
W4,0.00390625,cd,0.209677419355
W4,0.005859375,cd,0.209677419355
W4,0.0078125,cd,0.219602977667
W4,0.009765625,cd,0.219602977667
W4,0.01171875,cd,0.22952853598
W4,0.013671875,cd,0.22952853598
